,city_state_country
300,"Seymour, CT, USA"
301,"Storrs, CT, USA"
302,"Woodbridge, CT, USA"
303,"Brooklyn, CT, USA"
304,"East Haddam, CT, USA"
305,"South Kent, CT, USA"
306,"Ivoryton, CT, USA"
307,"New Haven, CT, USA"
308,"Plymouth, CT, USA"
309,"Kent, CT, USA"
310,"Goshen, CT, USA"
311,"Marlborough, CT, USA"
312,"Middlebury, CT, USA"
313,"Wilton, CT, USA"
314,"Mansfield, CT, USA"
315,"Thomaston, CT, USA"
316,"Ellington, CT, USA"
317,"New Hartford, CT, USA"
318,"Bloomfield, CT, USA"
319,"Mystic, CT, USA"
320,"Falls Village, CT, USA"
321,"westport, CT, USA"
322,"Willimantic, CT, USA"
323,"Bethany, CT, USA"
324,"Simsbury, CT, USA"
325,"Berlin, CT, USA"
326,"mansfield, CT, USA"
327,"SOUTHPORT, CT, USA"
328,"Bethel, CT, USA"
329,"South Glastonbury, CT, USA"
330,"Hebron, CT, USA"
331,"West Hartford, CT, USA"
332,"Canaan, CT, USA"
333,"Mansfield Center, CT, USA"
334,"Rocky Hill, CT, USA"
335,"Voluntown, CT, USA"
336,"New London, CT, USA"
337,"Clinton, CT, USA"
338,"Pomfret Center, CT, USA"
339,"Terryville, CT, USA"
340,"Southbury, CT, USA"
341,"Bolton, CT, USA"
342,"Lisbon, CT, USA"
343,"Suffield, CT, USA"
344,"danbury, CT, USA"
345,"Norwalk, CT, USA"
346,"Griswold, CT, USA"
347,"Litchfield, CT, USA"
348,"North Haven, CT, USA"
349,"Central Village, CT, USA"
350,"Lakeville, CT, USA"
351,"Darien, CT, USA"
352,"Quaker Hill, CT, USA"
353,"East Hampton, CT, USA"
354,"East windsor, CT, USA"
355,"Uncasville, CT, USA"
356,"Morris, CT, USA"
357,"Woodbury, CT, USA"
358,"Ledyard, CT, USA"
359,"Plantsville, CT, USA"
360,"Haddam, CT, USA"
361,"Dayville, CT, USA"
362,"Amston, CT, USA"
363,"Baltic, CT, USA"
364,"Enfield, CT, USA"
365,"Plainfield, CT, USA"
366,"East Granby, CT, USA"
367,"Naugatuck, CT, USA"
368,"Willington, CT, USA"
369,"Bantam, CT, USA"
370,"E. Granby, CT, USA"
371,"Windsor, CT, USA"
372,"Franklin, CT, USA"
373,"Ashford, CT, USA"
374,"East Lyme, CT, USA"
375,"oxford, CT, USA"
376,"Sharon, CT, USA"
377,"West Cornwall, CT, USA"
378,"New Preston, CT, USA"
379,"Granby, CT, USA"
380,"Redding, CT, USA"
381,"Gaylordsville, CT, USA"
382,"Hartford, CT, USA"
383,"Gales Ferry, CT, USA"
384,"Winsted, CT, USA"
385,"Kensington, CT, USA"
386,"norwalk, CT, USA"
387,"Broad Brook, CT, USA"
388,"Cromwell, CT, USA"
389,"Colebrook, CT, USA"
390,"Oakdale, CT, USA"
391,"Putnam, CT, USA"
392,"Waterbury, CT, USA"
393,"Windsor Locks, CT, USA"
394,"Watertown, CT, USA"
395,"Jewett City, CT, USA"
396,"KILLINGWORTH, CT, USA"
397,"Lakeside, CT, USA"
398,"colchester, CT, USA"
399,"Burlington, CT, USA"
400,"guilford, CT, USA"
401,"Unionville, CT, USA"
402,"Versailles, CT, USA"
403,"Prospect, CT, USA"
404,"Noank, CT, USA"
405,"Chester, CT, USA"
406,"East Hartland, CT, USA"
407,"Oakville, CT, USA"
408,"Beacon Falls, CT, USA"
409,"ridgefield, CT, USA"
410,"Canterbury, CT, USA"
411,"North Granby, CT, USA"
412,"Bridgewater, CT, USA"
413,"West Granby, CT, USA"
414,"Cornwall Bridge, CT, USA"
415,"Glastonbury, CT, USA"
416,"Norfolk, CT, USA"
417,"Weston, CT, USA"
418,"West Suffield, CT, USA"
419,"LISBON, CT, USA"
420,"Scotland, CT, USA"
421,"Salisbury, CT, USA"
422,"wilton, CT, USA"
423,"North Grosvenordale, CT, USA"
424,"willington, CT, USA"
425,"Meriden, CT, USA"
426,"Rockfall, CT, USA"
427,"Pomfret, CT, USA"
428,"Cornwall, CT, USA"
429,"bethlehem, CT, USA"
430,"Killingworth, CT, USA"
431,"killingworth, CT, USA"
432,"Montville, CT, USA"
433,"North Branford, CT, USA"
434,"East hampton, CT, USA"
435,"TRUMBULL, CT, USA"
436,"Preston, CT, USA"
437,"trumbull, CT, USA"
438,"durham, CT, USA"
439,"REDDING, CT, USA"
440,"Old Saybrook, CT, USA"
441,"middlefield, CT, USA"
442,"moodus, CT, USA"
443,"new haven, CT, USA"
444,"Rocky HIll, CT, USA"
445,"Deep River, CT, USA"
446,"Windham, CT, USA"
447,"Moodus, CT, USA"
448,"voluntown, CT, USA"
449,"ellington, CT, USA"
450,"CLINTON, CT, USA"
451,"east haddam, CT, USA"
452,"Hanover, CT, USA"
453,"southington, CT, USA"
454,"meriden, CT, USA"
455,"Old saybrook, CT, USA"
456,"Old Greenwich, CT, USA"
457,"Hadlyme, CT, USA"
458,"New Preston Marble Dale, CT, USA"
459,"orange, CT, USA"
460,"East Windsor, CT, USA"
461,"milford, CT, USA"
462,"WESTBROOK, CT, USA"
463,"easton, CT, USA"
464,"Woodstock Valley, CT, USA"
465,"bethel, CT, USA"
466,"pomfret center, CT, USA"
467,"Warren, CT, USA"
468,"Easton, CT, USA"
469,"redding, CT, USA"
470,"middlebury, CT, USA"
471,"Sterling, CT, USA"
472,"south windsor, CT, USA"
473,"branford, CT, USA"
474,"Rogers, CT, USA"
475,"Rowayton, CT, USA"
476,"Ballouville, CT, USA"
477,"Collinsville, CT, USA"
478,"Essex, CT, USA"
479,"Southport, CT, USA"
480,"Cos Cob, CT, USA"
481,"Riverton, CT, USA"
482,"East Woodstock, CT, USA"
483,"woodbridge, CT, USA"
484,"PORTLAND, CT, USA"
485,"Storrs Mansfield, CT, USA"
486,"Oneco, CT, USA"
487,"Westville, CT, USA"
488,"Washington, CT, USA"
489,"Northfield, CT, USA"
