geopy location,coordinates
"Williams, Coconino County, Arizona, United States","(35.255674, -112.16397206870826)"
nan
"Litchfield, Goodyear, Maricopa County, Arizona, 85338, United States","(33.4268077, -112.3552894)"
"Wenden, La Paz County, Arizona, United States","(33.8335125, -113.54583100857519)"
nan
nan
nan
"Dewey-Humboldt, Yavapai County, Arizona, 86329, United States","(34.513844500000005, -112.25601135833293)"
"San Luis, Yuma County, Arizona, United States","(32.4934395, -114.7737551)"
"Goodyear, Maricopa County, Arizona, 85395, United States","(33.4353672, -112.3576)"
"USA Gasoline, 9080, West Olive Avenue, Westgreen Estates, Peoria, Maricopa County, Arizona, 85345-7050, United States","(33.566667800000005, -112.25461170330524)"
"Sun City, Maricopa County, Arizona, 85363, United States","(33.6290111, -112.2819337)"
"Safford, Graham County, Arizona, 85548, United States","(32.8339546, -109.70758)"
"Pizzicata USA, East Ho Road, Spanish Village, Carefree, Maricopa County, Arizona, 85377, United States","(33.8260062, -111.9235598)"
nan
"Phoenix, Maricopa County, Arizona, 85004-1905, United States","(33.4484367, -112.0741417)"
"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184)"
"Sun City, Maricopa County, Arizona, 85363, United States","(33.6290111, -112.2819337)"
nan
"San Luis, Yuma County, Arizona, United States","(32.4934395, -114.7737551)"
"Rim Rock, Coconino County, Arizona, United States","(35.4130576, -112.7751807)"
"Surprise, Maricopa County, Arizona, 85374, United States","(33.6292271, -112.3680189)"
"Wickenberg Plant #10, Maricopa County, Arizona, United States","(33.889971149999994, -112.65702775480116)"
"Winkelman, Gila County, Arizona, United States","(32.9875659, -110.7709387)"
nan
"Casa Grande, Pinal County, Arizona, 86122, United States","(32.8795022, -111.757352)"
"Lake Havasu City, Mohave County, Arizona, 86403, United States","(34.4838502, -114.3224495)"
"Sedona, Coconino County, Arizona, United States","(34.8679599, -111.7617165)"
nan
